Column1,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
355,,Calamagrostis x acutiflora,Poaceae,Perennial,"3-5 ft. tall, 1.5-2.5 ft. wide",Full,"Rich, moist","Acidic, neutral, alkaline","Summer, fall",Pinkish-purple,4a-11a USDA,"Europe, Asia",
356,"Fennel, sweet fennel, common fennel",Foeniculumvulgare,Apiaceae,"Perennial, herb",,Full sun,"Moist, well-drained",Acidic (5.5-6.8),Summer,,4-9 (USDA),Mediterranean,
357,"Ficus Audrey, banyan tree, strangler fig",Ficus benghalensis,Moraceae,Tree,"5-10 ft. indoors, 65-100 ft. outdoors",Partial,Moist but well-drained,Acidic,,,"9-11, US",Asia,
358,"Fiddle-leaf fig, banjo fig",Ficus lyrata,Moraceae,Broadleaf evergreen,"50 ft. tall (outdoors), 10 ft. tall (indoors)",Part shade,"Loamy, medium moisture, well-draining",6 to 7,Rarely flowers outside of its native area,Insignificant,10-12 (USDA),Tropical western Africa,Toxic to cats and dogs
359,Fire Island hosta,Hosta longipes f. hypoglauca X H.Crested Surf,Asparagaceae,"Herbaceous, with aperenniallife cycle","1 ft. high, 28 in. spread",Partial shade,"Evenly moist and well-drained, with average fertility",Neutral to slightlyacidic,Mid-summer,Lavender,,,
360,"Firebush, scarlet bush",Hamelia patens,,Herbaceous perennial,"3-15 ft. tall, 2-6 ft. wide","Full sun, partial shade",Well-drained,Neutral to acidic,"Summer, fall","Orange, orange-red, red",8-11 (USDA),"Mexico, Central America, South America",
361,"Mexican Cigar Plant, Firecracker Plant",Cuphea ignea,,"Perennial, Annual",Up to 25 in. tall,"Full Sun, Partial Shade","Moist, well-drained","Acid, Neutral, Alkaline","Spring, Summer, Fall",Red,"10 - 12, USA","Mexico, Jamaica",
362,"Firepower Nandina, heavenly bamboo, sacred bamboo",Nandina domestica 'Firepower',,"Broadleaf shrub; is evergreen in the American Southeast, where it is especially popular","1 to 2 feet in height, 1 to 2 feet in width",Full sun to partial shade,"Average fertility and moisture, well-drained",Acidic,Non-flowering variety,,,Eastern Asia,Toxic to pets and birds
363,Crocodile fern,Odontonema strictum,,Houseplant or perennial,2 to 5 feet tall and wide,"Bright, indirect late to shade","Rich, moist, well-draining",Slightly acidic to neutral,Late summer to early fall,Red,10 to 11,Southeast Asia and Australia,
364,Firethorn,Pyracantha coccinea,Rosaceae,Shrub,"6-15 ft. tall, 6-15 ft. wide","Full, partial","Sandy, well-drained","Acidic, neutral, alkaline",Summer,White,"6-9, USA","Europe, Asia",
365,"Fishbone cactus, zig zag cactus, ricrac cactus, orchid cactus",Disocactus anguliger,Cactaceae,Cactus,"6 in. tall, 3 ft. long",Partial,"Loamy, moist but well-drained",Acidic,"Late summer, fall","White, yellow","10a, 10b, 11a, 11b, 12a, 12b",North America,
366,,Fittonia albivenis,Acanthaceae,"Evergreen, herbaceous perennial","3-6 in. tall, 12-18 in. spread","Filtered indirect sun, part shade",Moist but well-drained,Slightly acidic (6.5),July to August,"Yellowish-white, reddish","11, USDA",South America,
367,"Flamingo willow, Japanese flamingo willow, flamingo dappled willow",Salix integra 'Flamingo',,Shrub,"4 to 6 ft. tall, with a spread of 5 to 7 ft.","Full, partial",Moist but well-drained,Neutral to alkaline (5.6 to 7.8),Spring,Yellow,"5, 6, 7",Asia,
368,"Flax, common flax, linseed oil plant",Linum usitatissimum,Linaceae,"Annual, herb",Up to 3 ft. tall,Full,"Sandy, loamy","Acidic, neutral, alkaline",Summer,Blue,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11","Asia, Europe",Toxic to pets
369,,,Asphodelaceae,Perennial,1.5 to 2 ft. tall and 2.5 to 3 ft. wide,"Partial, Full","Sandy, loamy, well-drained","Acidic, neutral",Spring,"Blue, white","9, 10, 11","Australia, Asia",
370,,Lychnis chalcedonica,,Herbaceous perennial,3-4 ft. tall; 1.5 ft. wide,Full,"Evenly moist, well-drained",Acidic to neutral,Early to mid-summer,"Red, white, or pink",,Eurasia,
371,"Flowering crabapple, flowering crab",Malus spp. and cultivars,Rosaceae,Flowering fruit tree,"15-20 ft. tall, 12-20 ft. wide (occasionally larger)",Full,"Rich, loamy, well-drained",Acidic to neutral (5.5 to 6.5),Late spring,White to pink,4-8 (USDA),"North America, Europe, Asia","Seeds are toxic to human and animals, if consumed in large quantities"
372,"Flowering ginger, ornamental ginger, ginger","Zingiberaceae family, several genera and species",Zingiberaceae,"Herbaceous, perennial",4-5 ft. tall,Partial,Moist but well-draining,Neutral to acidic,Summer,"Red, orange, yellow","7, 8, 9, 10",Asia,
373,,Nicotiana alata,,Herbaceous perennial,3 to 5 feet tall with a spread of 1 to 2 feet,Full sun to part shade,"Organically rich, moist, well-draining",6.1 to 7.8,Summer through fall,"Yellow-green, white, pink, red, yellow",10 to 11 (usually grown as an annual),"Southern Brazil, Northern Argentina, Paraguay, Uruguay, Colombia",Toxic to pets
374,"Foamflower, Allegheny foamflower, False miterwort",Tiarella cordifolia,,Perennial,"1-3 ft. tall, 6-12 in. wide","Partial, full",Loamy,Neutral to acidic,Spring,White with pink accents,3 to 8 (USDA),North America,
375,Forest pansy redbud,Cercis canadensis 'Forest Pansy',,Deciduous tree,"20-30 ft. tall, 25-35 ft. wide",Full sun to partial shade,"Average, medium moisture, well-drained",Adaptable,April,Rosy Pink,USDA 5-9,Eastern and central North America,
376,,Myosotis sylvatica,,Biennial,"Up to 1 ft. tall (but commonly shorter), with a similar spread","Full, partial","Moist, well-drained","Mildly acidic, neutral, mildly alkaline","Spring, summer","Blue, white, yellow, pink","3, 4, 5, 6, 7, 8",Europe,
377,"Forsythia, golden bells",Forsythia spp.,Oleaceae,Deciduous shrub,"2-10 ft. tall, 2-10 ft. wide","Full sun, partial shade",Moist but well-draining,Neutral to acidic,Spring,Yellow,"5 to 8, USA",Asia,
378,"Four o'clock plant, marvel of Peru, garden jalap",Mirabilis jalapa (synonym:Mirabilis lindheimeri),Nyctaginaceae,"Herbaceous, perennial",2-3 ft. tall and wide,"Full, partial","Moist, well-drained","Acidic, neutral","Summer, fall","Pink, red, yellow, white","9-11, USA",South America,"Toxic to people, toxic to pets"
379,Foxtail pine,Pinus balfouriana,,Evergreen,"30-50 ft. tall, 10-15 ft. wide","Full, partial","Loamy, Sandy, Well-drained",Acidic,Not applicable,Not applicable,"4-7, USA",North America,
380,"Frances Williams hosta, Frances Williams plantain lily",Hostasieboldiana'Frances Williams',,Herbaceous perennial,"1.5-2 ft. tall, 4-5 ft. wide","Partial shade, full shade",Moist but well-drained,Neutral to acidic,Summer,"White, lilac",3-8 (USDA),Japan,Toxic to dogs and cats
381,Franklin Tree,,,Tree,,,,,,,,,
382,Freesia,Freesiaspp.,,Perennialbulb or corm,1-2 ft. tall,Full sun to partial sun,"Rich, moist, well-draining",Neutral,"Spring, summer","Pink, red, white, yellow, orange, blue, purple",10-Sep,Africa,
383,"French lavender, fringed lavender",Lavandula dentata,Lamiaceae,Perennial,"23-36 inches tall, 23-27 inches wide",Full,"Sandy, Well-drained","Neutral, Alkaline","Spring, Summer, Fall, Winter",Purple,"8-11, USDA","Europe, Mediterranean",
384,,Fuchsia (Group),,"Shrub, annual","1 to 2 ft. tall, with a similar spread",Partial shade,Moist but well-drained,Neutral to acidic,"Spring, summer, fall","Red, pink, white, violet, purple",10 thru 11,"Caribbean, South America",
385,"Gardenia, cape jasmine",Gardenia jasminoides,Rubiaceae,Flowering broadleaf evergreen shrub,"5 to 6 feet tall, similar spread",Part shade,"Rich, well-drained soil, peat-based potting mix in containers",5.0 to 6.5 (acidic),Seasonal bloomer,"White, cream",8 to 11 (USA); often grown as a houseplant,"China, Japan, Taiwan",Mildly toxic to pets 
386,Garlic,Allium sativum,Amaryllidaceae,"Bulb, vegetable",,Full sun,"Moist, well-drained",Slightly acidic to neutral (6.0 to 7.0),Spring,,4-9 (USDA),Asia,Toxic to animals
387,,Allium tuberosum,,"Fibrous bulb, perennial, clump-forming herb",6 to 12 in. or 1 to 3 ft. tall; 2 ft. wide,Full sun to part shade,"Rich, well-draining",Neutral,August to September,Creamy white,"3-9, USDA",Southeastern Asia,
388,"Garlic mustard, garlic root, sauce-alone, jack-by-the-hedge, mustard-root",Alliaria petiolata,,Biennial,"1-4 ft. tall, 6-18 in. wide",Sun exposure,"Moist, sandy, loamy",Neutral to acidic,Spring,White,6-8 (USDA),Europe,
389,"Gasteria, ox tongue, cow's tongue",Gasteria spp.,Asphodelaceae,Perennial succulent,4-24 in. tall,Full sun to part shade,"Sandy, well-drained",Acidic to neutral (6 to 7),"Winter, spring","Red, pink","9-11, USA",South Africa,
390,"Gerbera daisy, transvaal daisy",Gerbera jamesonii,Aster,Herbaceous perennial,"10-18 in. tall, 9-12 in. wide","Full sun, partial shade","Moist, well-drained",Neutral to acidic,"Summer, fall","Red, yellow, orange, pink, white","8-10, USA",South Africa,
391,"Chamomile, German chamomile, Roman chamomile, Barnyard daisy",,Asteraceae,German chamomile is an annual flower; Roman chamomile is a perennial,"8-24 in. tall, 8-12 in. wide",Full sun,"Not toorich, organic soil",5.6-7.5,Summer,White petals with a yellow center,2a-9a (USDA),Europe,
392,"Ghost echeveria, Mexican hens and chicks",Echeveria lilacina,,Succulent,"6 inches tall, 7 inches wide",Full to partialsun,"Sandy, well-draining",Acidic,"Winter, spring",Pale pink or coral,9b to 11b,North America,
393,"Ghost pepper, ghost chili","Bhut jolokia, Capsicum chinense × Capsicum frutescens",Solanaceae,"Herbaceous, perennial",,Full sun,"Loamy, moist, well-drained",Acidic (6 to 6.8),Summer,,8-11 (USDA),Asia,
394,"Ghost plant, mother-of-pearl plant",Graptopetalum paraguayense,,"Perennial, succulent","6 to 12 inches tall, 2 to 3 feet wide wide (depends on variety)",Full to partial sun,"Sandy, light potting mix","Slightly acidic, neutral (6.1-7.5)",Spring,Yellow,9-11 (USDA); zones 7-8 with winter protection,"North America, Central America (Mexico)",
395,"Giant fleece flower, knotweed, white fleece flower",Persicaria polymorpha,,Herbaceous perennial,"3-5 ft. tall, 3-4 ft. wide",Full sun,Moist but well-drained,Neutral to acidic,Summer,White,4-9 (USDA),Asia,
396,"Giant hogweed, giant cow parsnip, cartwheel flower",Heracleum mantegazzianum,,Biennial or perennial,,,,,Summer,White,,,"Toxic to humans, cats, dogs, and horses"
397,"Giant allium, giant ornamental onion",Allium giganteum,,Perennial,"4-5 ft. tall, 2 ft. wide","Full, partial","Loamy, sandy, well-drained","Acidic, neutral, alkaline","Spring, summer",Purple,"4-9, USA",Asia,Toxic to dogs and cats
398,,Etlingera elatior,,"Herbaceous, perennial","6-15 ft. tall, 4-10 ft. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral",Seasonal,"Red, pink, white",10-12 (USDA),Asia,
399,"Common Ginger, Canton Ginger","Zingiber officinale,",,"Perennial, Herbaceous Shrub","Up to 4 ft. tall, 2 ft. wide","Full sun, partial shade","Well-drained, moist, rich","Neutral, alkaline",Fall,"Yellow, cream, green",8-12 (USDA),Southeast Asia,
400,Globe thistle,Echinops,,Perennial,2 to 5 feet,Full sun,"Dry, shallow, or rocky",Acidic; 5.1 to 6.5,Summer,"Blue, purple, and white",USDA growing zones 3-9,Central Asia; Southeastern and South central Europe,
401,"Goat willow, European pussy willow",Salix caprea,Salicaceae,Deciduous shrub or tree,"12-25 ft. tall, 8-15 ft. wide",Full,"Prefers moist soil, but tolerant of all soil types",Acidic to slightly alkaline (6.6 to 7.5),Spring,Yellow/green,4-8 (USDA),"Europe, central and western Asia",
402,,Aruncus dioicus,,"Herbaceous, perennial","4-6 ft. tall, 2-4 ft. wide","Full, partial","Moist, loamy","Acidic, neutral, alkaline","Spring, summer",Cream,4-7 (USDA),"Asia, Europe, North America",Toxic to people and animals
403,"Gold dust, gold dust aucuba, spotted laurel, variegated gold dust plant",Aucuba japonica,Garryaceae,Broadleaf evergreen shrub,6 to 10 feet tall and 5 to 9 feet wide,Part shade to full shade,Well-drained,"Acidic, neutral, alkaline",Spring,Purple-maroon,7 through 9,"China, Taiwan, southern Japan",
404,Gold Mound spirea,Spiraea japonica 'Gold Mound',Rosaceae,Shrub,"2 to 3 ft, tall, 3 to 4 ft. wide",Full sun,Well-drained,Acidic to neutral (5.5 to 7.5),Late spring,Pink,4-8 (USDA),Asia,
405,"Golden Alexander, golden zizia",Zizia aurea,,,1-3 ft.,Part sun to shade,Sandy or sandy-clay soils,,Late spring,,4-9 (USDA),,
406,"Golden bamboo, fishpole bamboo, fairyland bamboo",Phyllostachys aurea,,Herbaceous perennial,"12-20 ft. tall, 12-25 ft. wide (clumps of canes), 1-2 in. thick (individual canes)","Full sun, partial shade",Moist but well-drained,Neutral to acidic,Rarely flowers,Rarely flowers,6-10 (USDA),Asia,
407,"Golden barberry, golden Japanese barberry, aurea barberrry",Berberis thunbergii 'Aurea',Berberidaceae,Deciduous shrub,"3-4 ft. tall, 3-5 ft. wide","Full, partial","Dry to medium moisture, well-drained",Acidic to slightly alkaline (5.5 to 7.2),Late April to early May,Yellow,4-7 (USDA),Eastern Asia (China and Japan),"Mildly toxic to humans, pets"
408,"Golden barrel cactus, golden ball",Echinocactus grusonii,,Perennial cactus,"3.5 ft. tall, 2 ft. wide",Full sun,"Dry, well-drained soil, or cacti/succulent potting mix",6.1 to 7.5 (slightly acid to slightly alkaline),Summer (does not bloom until the plant is quite old),Yellow,Zones 10-11 (USDA),"Rocky volcanic slopes of Mexico, SW United States",
409,"Golden chain tree, bean tree,Waterer laburnum",Laburnum,,Deciduoustree,15 to 25 feet in height; spread can be similar but is often less,Full sun,"Well-drained, rich, with medium moisture",Neutral toalkaline,Late spring,Golden,5 to 7,Southern Europe,Highly toxic to humans and animals
410,,Lamium galeobdolon,,"Herbaceous, perennial",1-2 ft. tall and wide,"Partial, shade","Sandy, loamy, clay, well-drained","Acidic, neutral, alkaline",Spring,Yellow flecked with orange or brown,4-9 (USDA),"Europe, Asia",
411,"Golden goddess philodendron, Malay gold, lemon-lime philodendron",Philodendron 'golden goddess',Araceae,Vine,6 ft. tall indoors,Partial,"Loamy, moist but well-draining",Acidic,Summer,"Green, white","9,10 USA",Asia,
412,,,,Tree,30 to 60 ft. tall20 to 40 feet wide,Full Sun,"Moist, organically rich loams",Acidic,Non-Flowering,Non-Flowering,,,
413,'Golden Oriole' azalea,Rhododendron'Golden Oriole',,Deciduousflowering shrub,6 ft. tall by 4-6 ft. wide,Full sun to part sun,"Moderately rich, well-drained, evenly moist",4.5-5.5,Early spring,Orange and yellow,5-8 (USDA),NA; hybrid with genetic parentage in North America and Asia,Toxic to humans and pets
414,Goldenrod,Solidago spp.,Asteraceae,Herbaceous perennial,1.5-5 ft tall,Full sun,"Moist, well-drained",Neutral to acidic (5.5 to 7.5),Late summer to fall,Yellow,"3-9, USA","North America, Europe, Asia",
415,Goldfish plant,Nematanthus gregarious,,Perennial,"Stems 2 to 3 in. long, branches up to 3 ft. long",Bright light but not direct light,Well-drained,Acidic,"Spring, summer, fall, winter","Red, orange, yellow",10 to 11 (USDA),"Central America, Caribbean",
416,Goldflame spirea,Spiraea japonica 'Goldflame',Rosaceae,Shrub,3-4 ft. tall and wide,Full,"Loamy, well-drained",Acidic to neutral (5.5 to 7.5),Summer,Pink,4-8 (USDA),Asia,
417,,"Ribes uva-crispa (European gooseberry), Ribes hirtellum (American gooseberry)",Grossulariaceae,Fruit,"3-4 ft. tall, 3-4 ft. wide","Full sun, partial shade","Loamy, sandy, well-drained",Neutral to Acidic (6.0 to 7.0),Spring,"Pink, yellow, greenish-white","4-6, USA","Europe, North America",
418,"Goutweed, cow parsley, ground elder",Aegopodium podagraria,,"Herbaceous, perennial",Flowering stems can grow to be up to 1m tall,"Full sun, partial shade, full shade",Well-drained,"Acid, neutral, alkaline",Summer,White,4-9 (USDA),"Europe, Asia",
419,,Muscariarmeniacum,,Bulb,"6-9 in. tall, 3-6 in. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,Early spring,"Blue, white, lavender, pink, yellow",4-8 (USDA),Asia,
420,,Ornithogalum umbellatum,,Bulb,"6-12 in. tall, 12-24 in. wide","Full, partial","Loamy, moist, well-drained","Acidic, neutral, alkaline",Spring,"White, with green stripes",4-9 (USDA),"Europe, Africa, Mediterranean",Toxic to people and animals
421,Greek juniper,Juniperus excelsa,Cupressaceae,Coniferous evergreen tree,"30-65 ft. tall, 30-50 ft. wide","Full, partial","Moderate to dry, well-drained",Neutral to alkaline (6.5-8.0),Spring (not showy),Blue-black berries,5-9 (USDA),"Southeastern Europe, Eurasia",
422,Greek valerian,Polemonium caeruleum,,Herbaceous perennial flower,12to 24 in. tall; 12- to 24-in. spread,Part shade to full shade,"Rich, well-drained",6.2 to 7.0 (acidic to neutral),"Spring, summer","Mostly blue and purple; white, pink, and yellow cultivars also available",4 to 9 (USDA),"Northern Asia, Europe; has naturalized in Eastern North America",
423,Green ash,Fraxinus pennsylvanica,Oleaceae,Deciduous tree,"50-70 ft. tall, 35-50 ft. wide",Full,Well-drained,Acidic to alkaline (5.0 to 8.0),Late spring/early summer,Purple (non-showy),3-9 (USDA),North America,
424,Green Giant Arborvitae,Thuja standishii x plicata ‘Green Giant’,Cupressaceae,Needled evergreen,"40 to 60 ft. tall, 12 to 18 ft. wide",Full sun to part shade,"Fertile, well-drained clay or loamy","Acidic, Neutral, or Alkaline",Non-flowering,Non-flowering,"5 to 8, USDA",Europe,
425,"Grey dogwood, Panicled dogwood",Cornus racemosa,,Perennial shrub,"10 to 15 feet height, 10 to 15 feet spread",Full sun to part shade,"Sandy, Silt, Clay, Loamy",5 to 8,Late spring,White,4 to 8,,
426,"Ground cherry, husk tomato, strawberry tomato",Physalis pruinosa,Solanaceae,"Annual, fruit, shrub",1-3 ft. tall and wide,Full sun,"Loamy, sandy, well-drained",Acidic (6.0 to 6.5),Summer,,4-8 (USDA),Central America,"Toxic to people, toxic to pets (except the fruit)"
